GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "05000","Arkansas",5,SAGDP1,8,"..."," Subsidies (millions of dollars) ","Millions of current dollars",-353.6,-520.1,-833.9,-970.7,-1136.7,-732.9,-1100.8,-553.0,-698.3,-624.2,-604.5,-504.1,-648.5,-557.1,-593.3,-567.0,-572.1,-534.8,-552.9,-740.2,-795.4,-807.9,-1186.9,-3924.0,-3422.3,(NA)
 "06000","California",8,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",1378276.5,1468730.8,1574305.9,1696172.4,1692324.1,1722522.4,1789998.5,1850904.5,1926842.1,2002437.4,2041192.2,2061638.8,1995439.7,2036015.0,2063827.5,2113096.4,2179229.0,2256054.7,2357452.9,2427894.6,2538204.0,2644061.2,2729225.8,2667220.9,2874730.8,2885627.3
 "06000","California",8,SAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",65.225,69.506,74.502,80.270,80.087,81.517,84.710,87.592,91.186,94.763,96.597,97.565,94.432,96.352,97.668,100.000,103.130,106.765,111.564,114.897,120.118,125.127,129.158,126.223,136.044,136.559
 "06000","California",8,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",1071117.0,1147520.4,1241899.7,1356975.4,1375761.3,1418429.6,1497918.7,1588177.4,1698560.4,1812210.0,1898902.0,1944695.3,1890165.9,1954092.7,2023500.0,2113096.4,2220389.9,2335286.5,2473555.9,2569634.0,2728743.1,2897200.7,3042694.1,3020173.4,3373240.7,3598102.7
 "06000","California",8,SAGDP1,4,"...","Compensation (millions of dollars) ","Millions of current dollars",574432.9,625411.7,681068.5,768199.0,786778.9,793668.6,826979.8,881668.6,926929.3,980936.4,1029657.7,1042144.9,990073.0,1010508.8,1059293.2,1113411.5,1157678.6,1225532.5,1313766.3,1371402.0,1453415.2,1532540.0,1616826.9,1666019.4,1836264.4,(NA)
 "06000","California",8,SAGDP1,5,"...","Gross operating surplus (millions of dollars) ","Millions of current dollars",431069.4,453030.9,487837.8,509912.0,514711.6,537381.3,581749.9,609807.5,669808.7,718212.0,750756.5,776312.4,778417.7,818460.5,831169.1,869106.6,922208.7,959787.0,1000092.2,1038406.8,1109247.1,1180426.9,1226460.6,1235337.0,1368885.5,(NA)
 "06000","California",8,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars) ","Millions of current dollars",65614.7,69077.8,72993.4,78864.4,74270.8,87379.6,89188.9,96701.3,101822.4,113061.6,118487.9,126238.0,121675.1,125123.5,133037.7,130578.4,140502.5,149966.9,159697.4,159825.2,166080.8,184233.8,199406.6,118817.0,168090.8,(NA)
 "06000","California",8,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars) ","Millions of current dollars",70407.3,73616.0,78034.5,83626.1,86857.9,92987.0,94897.2,102513.4,108454.8,119326.1,124466.2,132425.5,129051.3,132283.7,140407.8,137518.4,147444.8,157004.0,166529.0,167237.3,173543.3,191996.5,207533.7,209260.7,222989.7,(NA)
 "06000","California",8,SAGDP1,8,"..."," Subsidies (millions of dollars) ","Millions of current dollars",-4792.6,-4538.3,-5041.0,-4761.8,-12587.0,-5607.4,-5708.3,-5812.1,-6632.4,-6264.6,-5978.3,-6187.5,-7376.2,-7160.3,-7370.1,-6940.0,-6942.2,-7037.1,-6831.6,-7412.1,-7462.5,-7762.8,-8127.1,-90443.8,-54898.9,(NA)
 "08000","Colorado",7,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",184185.3,200679.7,215294.6,231589.8,234979.4,235417.3,237782.3,240747.6,251558.4,257430.2,266887.5,270981.4,264966.3,267858.9,271700.6,276823.1,286259.1,298655.3,312409.7,318953.4,329913.3,342733.2,358438.5,353345.2,373763.3,385834.8
 "08000","Colorado",7,SAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",66.535,72.494,77.773,83.660,84.884,85.042,85.897,86.968,90.873,92.994,96.411,97.890,95.717,96.762,98.150,100.000,103.409,107.887,112.855,115.219,119.178,123.809,129.483,127.643,135.019,139.380
 "08000","Colorado",7,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",136898.7,150330.0,163763.3,180063.2,186695.8,190019.0,196126.5,204167.2,220783.7,232646.7,248446.5,258871.7,251227.7,258300.2,267516.1,276823.1,292140.5,309542.6,320721.1,329911.7,349156.5,372212.1,394534.7,391263.3,436359.5,484371.5
 "08000","Colorado",7,SAGDP1,4,"...","Compensation (millions of dollars) ","Millions of current dollars",75823.9,83882.3,91784.8,103429.2,107435.0,106707.4,108800.2,114072.4,120699.0,128021.9,135559.9,140506.9,136685.9,138375.6,143060.0,150874.5,157077.6,168061.9,176758.6,182139.9,193377.6,205848.9,219628.5,224646.2,244634.8,(NA)
 "08000","Colorado",7,SAGDP1,5,"...","Gross operating surplus (millions of dollars) ","Millions of current dollars",52989.4,57765.1,62638.8,66475.0,68887.7,72171.8,76283.5,78021.1,87175.9,90876.4,98248.6,103657.2,100234.4,103204.1,107126.6,109663.1,118145.4,123575.2,125444.1,128087.5,134517.9,143475.8,150230.0,153227.7,173129.7,(NA)
 "08000","Colorado",7,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars) ","Millions of current dollars",8085.4,8682.6,9339.7,10159.1,10373.1,11139.8,11042.7,12073.7,12908.8,13748.5,14638.0,14707.6,14307.3,16720.5,17329.4,16285.6,16917.5,17905.5,18518.4,19684.4,21261.0,22887.4,24676.2,13389.4,18594.9,(NA)
 "08000","Colorado",7,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars) ","Millions of current dollars",8627.5,9300.6,10085.9,10888.8,11258.6,11774.8,11908.1,12777.0,13869.3,14551.3,15387.8,15519.6,15201.2,17616.9,18326.5,17258.5,17953.4,18961.7,19516.8,20775.4,22399.0,24007.7,25916.6,25835.9,28401.3,(NA)
 "08000","Colorado",7,SAGDP1,8,"..."," Subsidies (millions of dollars) ","Millions of current dollars",-542.1,-618.0,-746.3,-729.7,-885.5,-635.0,-865.4,-703.3,-960.5,-802.8,-749.8,-812.0,-893.9,-896.4,-997.0,-972.9,-1035.9,-1056.2,-998.4,-1091.0,-1138.0,-1120.3,-1240.4,-12446.5,-9806.4,(NA)
 "09000","Connecticut",1,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",190518.9,196391.1,202351.7,216157.6,218135.3,216677.7,219186.0,233426.5,238549.5,248233.8,257953.0,257756.0,244894.7,244354.7,238542.4,240911.9,236050.6,235780.9,242706.5,243286.7,247035.9,249074.8,251568.2,235234.9,246555.9,252533.3
 "09000","Connecticut",1,SAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.082,81.520,83.994,89.725,90.546,89.941,90.982,96.893,99.019,103.039,107.074,106.992,101.653,101.429,99.016,100.000,97.982,97.870,100.745,100.986,102.542,103.388,104.423,97.644,102.343,104.824
 "09000","Connecticut",1,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",138331.8,145475.5,152287.5,165614.3,171216.6,173248.3,178702.2,195354.9,205214.6,219768.4,234540.7,238936.8,233290.7,234700.0,233158.7,240911.9,241517.4,246597.0,259487.8,263670.3,271443.2,279923.0,288536.3,276223.3,298395.2,321844.6
 "09000","Connecticut",1,SAGDP1,4,"...","Compensation (millions of dollars) ","Millions of current dollars",77438.9,82629.7,87404.9,94354.0,97529.5,96987.4,99734.0,106028.1,110615.4,115349.1,122630.9,124157.2,118313.2,120487.2,124608.4,127400.6,129317.3,133233.1,137749.8,139068.1,140673.9,143596.1,146652.3,146394.0,155154.8,(NA)
 "09000","Connecticut",1,SAGDP1,5,"...","Gross operating surplus (millions of dollars) ","Millions of current dollars",50568.5,51906.8,53755.3,59834.2,62264.6,64528.0,66380.9,76332.1,81040.6,90802.1,97517.8,100441.4,100575.1,99723.5,93431.4,96584.6,94992.1,95466.1,103889.6,106714.0,112181.5,116595.0,121798.1,116162.1,127138.9,(NA)
 "09000","Connecticut",1,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars) ","Millions of current dollars",10324.4,10939.1,11127.3,11426.1,11422.6,11732.9,12587.3,12994.7,13558.7,13617.2,14392.0,14338.3,14402.3,14489.2,15119.0,16926.7,17208.1,17897.8,17848.3,17888.1,18587.8,19731.9,20085.9,13667.1,16101.5,(NA)
 "09000","Connecticut",1,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars) ","Millions of current dollars",10733.3,11317.3,11521.0,11810.1,11820.2,12135.4,13051.3,13485.0,14103.0,14129.8,14883.8,14848.3,15023.3,15117.7,15816.4,17568.1,17826.3,18540.2,18481.1,18524.6,19151.7,20318.6,20679.3,21021.4,21989.3,(NA)
 "09000","Connecticut",1,SAGDP1,8,"..."," Subsidies (millions of dollars) ","Millions of current dollars",-408.9,-378.2,-393.8,-383.9,-397.6,-402.6,-464.0,-490.3,-544.3,-512.5,-491.9,-510.0,-620.9,-628.5,-697.4,-641.4,-618.3,-642.4,-632.7,-636.5,-563.9,-586.7,-593.4,-7354.2,-5887.8,(NA)
 "10000","Delaware",2,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",45980.1,50434.3,54236.7,56550.2,58372.7,56534.5,57300.0,60069.9,59335.1,60624.3,60477.9,58655.7,61517.7,60577.2,62919.3,62354.6,60235.8,64940.1,66793.5,63001.3,60357.5,61425.1,64143.5,62281.8,64404.7,65754.8
 "10000","Delaware",2,SAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.740,80.883,86.981,90.691,93.614,90.666,91.894,96.336,95.157,97.225,96.990,94.068,98.658,97.149,100.906,100.000,96.602,104.146,107.119,101.037,96.797,98.509,102.869,99.883,103.288,105.453
 "10000","Delaware",2,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",33353.4,37106.0,40345.1,43451.3,46096.1,45508.3,47686.1,51353.7,52153.5,55174.4,56612.8,55459.8,57849.7,58163.5,61372.2,62354.6,61716.2,68354.7,71913.9,69355.0,68302.5,72168.3,76923.7,75818.6,81160.0,87524.8
 "10000","Delaware",2,SAGDP1,4,"...","Compensation (millions of dollars) ","Millions of current dollars",15575.0,16806.6,17926.4,19093.4,20001.5,20554.1,21378.3,22709.7,24150.2,25518.0,26096.7,26254.3,25197.3,25509.5,26691.5,27443.2,28040.4,29389.2,30346.3,30517.3,31959.0,33261.0,34728.5,34908.4,37093.3,(NA)
 "10000","Delaware",2,SAGDP1,5,"...","Gross operating surplus (millions of dollars) ","Millions of current dollars",16293.5,18697.3,20725.1,22478.8,24465.3,23211.3,24421.2,26159.7,25434.9,26980.5,27797.5,26646.8,30086.8,29941.9,31992.5,32022.4,30633.0,35588.5,38102.1,35114.2,32461.0,34720.7,37813.0,38127.7,40292.8,(NA)
 "10000","Delaware",2,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars) ","Millions of current dollars",1484.8,1602.2,1693.5,1879.1,1629.4,1742.9,1886.7,2484.3,2568.4,2675.8,2718.6,2558.7,2565.6,2712.1,2688.2,2889.0,3042.8,3377.1,3465.6,3723.4,3882.5,4186.6,4382.2,2782.5,3774.0,(NA)
 "10000","Delaware",2,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars) ","Millions of current dollars",1578.3,1693.7,1800.5,1985.7,1741.1,1858.3,2015.4,2616.8,2730.5,2820.6,2854.8,2715.8,2744.3,2948.8,2932.0,3108.5,3274.8,3594.7,3650.9,3918.7,4071.2,4372.1,4585.0,4623.7,5105.7,(NA)
 "10000","Delaware",2,SAGDP1,8,"..."," Subsidies (millions of dollars) ","Millions of current dollars",-93.4,-91.6,-107.0,-106.6,-111.7,-115.5,-128.7,-132.5,-162.0,-144.7,-136.2,-157.1,-178.7,-236.7,-243.8,-219.5,-232.0,-217.6,-185.3,-195.3,-188.7,-185.5,-202.8,-1841.2,-1331.7,(NA)
 "11000","District of Columbia",2,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",79827.7,81214.4,84756.2,85355.9,88440.7,91141.5,92921.0,97463.5,99480.7,99805.5,102738.7,106768.9,105893.9,109986.5,111646.5,112157.0,112332.4,114553.6,116808.4,119644.3,120759.4,123680.5,124597.2,122485.3,126983.0,129268.2
 "11000","District of Columbia",2,SAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.175,72.411,75.569,76.104,78.854,81.262,82.849,86.899,88.698,88.987,91.603,95.196,94.416,98.065,99.545,100.000,100.156,102.137,104.147,106.676,107.670,110.274,111.092,109.209,113.219,115.256
